job,salary,company,description,belong,experience,edu,address,address_detail 
计算机硬件学徒/计算机管理员/开发工程师助理/计算机维修,4千-6千,合肥学码思教育科技有限公司,任职资格:1、大专及以上学历，理工科相关专业优先；2、良好的综合素质，严谨的逻辑思维能力，有志于从事专业的软件相关工作；3、有无软件相关工作经验者均可，欢迎优秀的应届大学毕业生；4、有出国出差机会5.18-30岁超龄勿扰。男女不限。公司福利：1、签订正式劳动合同，从试用期开始缴纳五险一金；2、日常补贴（话费、工作餐、交通费补贴）;3、薪资保障:享受优质的奖励机制，高底薪+绩效；4、晋升管道畅通，一年有四次加薪晋升机会；5、正式员工享受十三薪及年终奖；6、朝九晚六，周末双休;7、每季度员工旅游+员工生日会+节日礼物；8、每年享受国家规定的带薪年假、法定节假日等福利；9、丰富的企业文化活动，打造快乐活力的工作氛围；10、提供员工宿舍；11、年度体检；工作时间:早9:00至晚17:30，周末双休。公司不提倡加班,互联网/电子商务 ,无经验,大专,合肥,合肥市包河区屯溪路239号富广大厦1507、1508室
手机维修服务专员（华东地区外派）,面议,四川品胜电子有限公司,维修专员主要是协助千机网开展手机维修业务（包含售后维修、保险理赔）。同时要负责对千机网门店进行技术指导/、培训。工作职责：1、负责管辖区域内数码生活服务类APP(手机/通讯)项目的培训，跟进，问题反馈;2、负责管辖区域内项目相关人员管理，培训，协调，指导，监督等工作实现标准化；3、负责公司政策及活动等通知，执行，跟进，反馈；4、负责辖区内千机网手机售后，管理，跟进，问题反馈，协调和问题解决；5、负责辖区内第三方合作方维护，问题协调沟通解决。任职资格：1、中专及以上学历、电子等相关理工科专业；2、熟悉手机、通讯类或小家电产品硬件维护和软件常用操作；3、沟通能力强、有良好的服务意识；4、为人踏实、工作细心、耐心、积极主动、能吃苦耐劳；5、能适应出差和具备较强的学习和抗压能力。福利待遇：1、薪资：无责底薪+生活补贴+提成+出差补贴;2、福利：五险一金+带薪年假+带薪法定假日+节日礼金+生日礼金+结婚礼金+父母孝顺金+年终奖;3、其他：公司为员工提供免费住宿，聘请生活保姆做饭;4、培训：岗位知识培训、销售技能培训、管理经验分享等;5、岗位晋升通道：维修专员--业务经理--省级负责人--大区总监--销售总监。,互联网/电子商务 ,,中专,合肥,华东地区（南京市、上海市、杭州市等）
初级JAVA程序员/JAVA开发助理（3500起+双休+五险）,3.5千-6.5千,安徽希望网络科技股份有限公司,应聘条件：1.年龄30岁以下，大专及以上学历，应届理工类本科生优先；2.从事其他职业想转行又无经验者也可；3.热爱IT行业，认真严谨，思维敏捷清晰，为人诚实、正直、有责任心；4.应往届毕业生，工作多年想转行，想寻求更高的职业发展起点；5.经验不限，面试通过后有老员工带领提供岗前培训；福利待遇：欢迎优秀应届毕业生来应聘，前期会有人员带着岗前实训，一经合格，签订劳动合同，购买五险一金，有饭补，薪资为基本工资4000+项目提成，不设上限工作时间：五天制，早上九点到下午六点，中午休息2小时，周六日双休面试入职流程：面试----笔试：如果优秀----直接入职如果合格----进入公司实习----签订就业保障协议/三方协议----通过考核----安排工作联系人：沈经理联系电话：18056045900QQ：28307175261.公司地址：合肥市高新区望江西路800号创新产业园D7栋5楼、7楼2.公司网址：http://www.auto-serve.com,互联网/电子商务 ,无经验,大专,合肥,合肥市高新区望江西路800号动漫基地D7栋5楼
计算机维修助理/电脑技术实习生/计算机技术维护学徒(可无经验),4千-6千,合肥软世通信息技术有限公司,"任职资格:1、大专及以上学历，专业不限，经验不限，可从实习生做起；2、对计算机感兴趣,有无基础均可,有志于进入IT行业。岗位职责:1、负责软、硬件产品的系统测试、安装、调试、维护工作；2、提供售前、售后的方案及技术支持。待遇：1、底薪+奖金=4000-8000（根据个人能力提升）2、年假，定期旅游，双薪等；3、外地员工可提供住宿工作时间：上午9:00-下午6:00午休2小时我司目前招聘计算机软件实习生，计算机维护助理，计算机技术支持学徒，计算机网络助理，计算机硬件维护助理，计算机操作学徒等职位，欢迎应往届毕业生投递简历！",互联网/电子商务 ,无经验,大专,合肥,安徽省合肥市包河区徽州大道与南一环交叉口富广大厦1508
数据分析（知乎）五险一金/双休,4千-6千,安徽中软软件有限公司,岗位职责：1、对该平台的产品、运营、市场数据进行监测、统计、异常分析；2、协助数据分析师完成数据清理、产品数据评估等工作。任职要求：1、统招专科及以上学历，应用数学、统计学、计算机或相关理工科专业；2、熟悉和热爱互联网领域，有良好的数据敏感度；3、良好的沟通表达能力，能够进行跨团队的协调沟通；4、具备强烈的进取心和良好的团队合作精神。您将享有以下福利：1、工作时间：5天7小时，无需加班，周末双休；2、社保：医疗、生育、工伤、失业、养老保险及住房公积金；3、奖金：每月绩效奖金、项目奖金、年终奖金；一切靠实力吃饭；4、娱乐福利：每周末各类娱乐活动自由组合，专属生日趴；5、假期福利：享受国家规定的带薪年假、法定节假日。工作地址：合肥有5个项目部，就近分配,互联网/电子商务 ,,大专,合肥,安徽省合肥市庐阳区长江中路黄山大厦副楼
计算机技术支持（实习生）,4千-6千,安徽万工信息技术有限公司,1、大专及以上的学历，本科优先。2、理工科相关专业，有志在IT行业发展。3、对计算机语言有一定的了解，热爱计算机行业。4、工作责任心强，做事仔细，有耐心。5、接收应届毕业生。6、能接受公司安排的培训。试用期2800－3000元，转正4000元起，带薪休假（年假、婚假、丧假、产假、病假、培训假），朝九晚五，五险一金，双休，餐补，带薪年假，年底双薪，生日礼金，节日祝福，入职即购买五险，转正后购买公积金。2015年应届毕业生优先。,互联网/电子商务 ,,大专,合肥,三孝口金诚大厦9007
运维工程师,6千-8千,合肥瑞纳节能工程有限公司,工作职责：1.收集、分析客户需求，编写需求文档，引导客户需求，对需求变更进行有效控制；2.负责现场实施，完成软件系统、网络设备的安装部署、客户培训、系统维护和项目验收；3.参与项目管理，编制项目实施文档，定期监控并汇报项目验收；4.为销售工程师的方案咨询、规划、编写提供支持；5.解决客户碰到的问题，维护客户关系，提高客户满意度。任职要求：1.2年以上软件系统/网络设备实施工作经验；2.大专及以上学历，计算机科学技术、电子信息工程、软件工程等相关专业；3.具有较强的学习、分析、理解、沟通和协调能力；4.具有网络认证证书和信息系统部署实施、培训经验者优先考虑。,互联网/电子商务 ,5-10年,本科,合肥,高新区长江西路拓基金座C座26层
客服高级工程师,4千-6千,合肥凌极西雅电子科技有限公司,岗位职责：1、负责公司系统集成项目的售后技术支持，及时处理、跟进、反馈售后问题；2、负责公司售后技术难点问题的解决(网络、存储服务器、教学软件等)；3、负责公司各代理产品的学习及技术性培训指导；4、协助项目售前负责人完善项目技术性方案。任职要求：1、1年以上相关工作经验；2、熟悉TCP/IP协议，路由器、交换机、防火墙；3、熟悉网络、存储服务器、监控广播等设备的安装调试；4、良好的服务意识、团队合作精神、协调沟通能力及学习能力。,互联网/电子商务 ,,大专,合肥,-合肥市高新区望江西路与西二环交口亚夏汽车大厦
信息技术主管,4千-6千,安徽慧诚电子商务有限公司,岗位职责：1、负责与公司各部门沟通、收集需求，参与公司信息应用系统（包括ERP、APP、商城、门店、会员系统等）的调研，并据此独立开展需求分析和系统统计，负责编制与软件相关的技术文档，按计划完成目标任务；2、对于外包的软件开发项目，做好督促跟进工作；3、及时指导、处理、协调和解决软件出现的技术问题，参与信息数据化管理和支持并确保公司经营的正常进行；4、完成领导临时交办的其他工作。任职资格：1、计算机软件或信息系统专业，本科或以上学历，2年左右软件开发工作经验（具备个独立项目开发经验优先）；2、Java/C#基础知识扎实，良好的面向对象分析与设计能力；熟练掌握J2EE/c#开源框架，能够运用相关技术进行软件开发；精通HTML，CSS、JavaScript、jQuery等，熟悉Tomact、weblogic或IIS等应用服务器，熟练编写SQL语句，至少熟悉oracle/sqlserver/MySQL中的一种数据库；3、具有较好的沟通协调能力，良好的团队合作意识，以及高度的团体责任感；能够快速学习新知识，逻辑分析力强，良好的承压能力；4、有ERP、APP、商城、门店、会员系统等相关项目开发经验优先；5、因信息技术主管需要向非软件行业的同事及上级汇报，与同事沟通，候选人必须善于沟通。,互联网/电子商务 ,,本科,合肥,安徽省合肥市高新区创新产业园二期F1-18层
技术经理,4千-8千,安徽融域信息技术有限公司,岗位职责：带领技术支持团队，完成软/硬件安装调试和培训。任职要求：（男女不限）A、全日制本科，计算机、电子信息技术或教育技术等相关专业，2年以上工作经验；B、具有良好的语言表达能力、较强的沟通能力和良好的团队合作精神；英语过CET-4或以上；C、需根据公司业务发展需要，在省内短期出差；D、月薪4000-8000元人民币，绩效与公司整体业绩挂钩。,互联网/电子商务 ,1-3年,本科,合肥,合肥市黄山路盛景国际大厦11楼
IT运维主管,1万-2万,科大讯飞股份有限公司,岗位职责:1)负责运维团队的管理)人员梯队建设)技术能力建设；2)组织部门重大项目风险评估工作；3)组织IT运维服务流程的规划)设计)优化等，提升部门运维标准化建设；4)负责IT运维服务质理管理，建设和完善考核质量管理体系，并推动落地执行。任职资格:1)本科及以上学历；2)8年以上互联网/IT运维经验，有团队管理经验；3)大型互联网系统的架构设计)运维工作经验；4)深刻理解IT运维管理，熟悉ISO质量)ITIL/ETOM)ITSecurity，有相关证书者优先；5)有5年以上运营商数据中心)互联网)信息化运维工作经验的优先；6)良好的沟通和协调能力。,互联网/电子商务 ,5-10年,本科,合肥,合肥
技术服务主管,1.5万-2万,安徽智恒信科技有限公司,岗位职责：1.协助部门经理做好技术人员的技术提升、服务管理和人员的管理等；2.带领技术人员团队，结合市场需求和技术发展方向，引领公司的技术发展方向；3.规划技术人员的绩效考核和绩效考核过程管理；4.建立健全公司的服务机制和服务标准，提高公司的服务水平和服务满意度。工作经验及其他要求：1.具有项目经理（软考）高级认证或一级建造师机电专业；2.熟悉数据中心、虚拟化、云计算、物联网等前沿技术的发展方向；3.掌握主流网络、服务器、存储、虚拟化、数据库、备份灾备等相关规划、实施和问题处理的能力；4.独立完成500万及以上的系统集成项目；5.有管理工作经验。,互联网/电子商务 ,5-10年,本科,合肥,安徽省合肥市高新区望江西路与天智路交口同创科技园2号楼10层
产品经理,8千-1万,合肥金枫园林景观建设有限公司,岗位职责：1.市场分析：发现并掌握目标市场和用户需求的变化趋势，对未来几年市场上需要什么样的产品和服务做出预测；2.竞品分析：收集竞争对手的资料、试用竞争对手的产品，从而了解竞争对手产品；3.用户研究：通过定性（用户访谈）、定量（调查问卷）等分析方法对用户需求进行挖掘和分析；4.产品规划：确定目标市场、产品定位、发展规划及路线图；5.对来自市场、用户等各方面的需求进行收集、汇总、分析、更新、跟踪；6.产品设计：编写产品需求文档，包括业务结构及流程、界面原型、页面要素描述等内容；7.版本管理：维护产品的每个版本的功能列表；任职要求：五年以上相关工作经验,互联网/电子商务 ,,大专,合肥,肥西上派花木城B区B1栋3楼
新闻校对（普通组）,2千-4千,合肥庐阳区世鑫数据处理服务中心,岗位职责：1.负责客户每日网站新闻的编辑校对，及相关的媒体/网站监测工作2.工作汇报对象:编辑组长3.有高度的责任心、团队精神，关注细节；4.较强的分析能力；5.大专以上学历；,互联网/电子商务 ,,大专,合肥,合肥市瑶海区站西路惠园大厦B座910室
数据处理(兼职),2千-4千,合肥庐阳区世鑫数据处理服务中心,"岗位职责：负责数据的基础处理：包括拆版，图片处理，OCR,分析（需固定时间）",互联网/电子商务 ,1-3年,中专,合肥,合肥市瑶海区临泉路与站西路交口惠园大厦B座910
编辑&信息&网络编辑各组储备组长,2千-4千,合肥庐阳区世鑫数据处理服务中心,工资：3000底薪+奖金岗位职责：1.负责小组日常工作安排，监控小组纪律情况；2.负责大陆客户新闻分析挑选工作；3.跟进客户分析报告撰写进程；3.跟进客户新监测需求，跟进解决小组客户投诉；4.负责新编辑技能培训，提升编辑工作技能；5.协助AM完善部门SOP；任职要求：（1）思维敏捷、逻辑清晰、有邮件的沟通熟练。（2）认真细致，勤奋踏实，吃苦耐劳，有强烈的责任心、质量意识和合作意识。（3）对新闻具有较强的分析能力，具有良好的文字功底.（4）本职位可以接收大专院校以上毕业生，参加过计算机培训并获得相应资质证书者优先。联系电话：68185200（王经理）,互联网/电子商务 ,,大专,合肥,合肥市瑶海区站西路惠园大厦B座910室
IT信息技术专员【十三薪】,6千-8千,上海赛康美信息技术有限公司合肥分公司,"应聘条件：1、年龄在20-30岁之间，男女不限，不符合年龄者勿投。2、身体心理健康，有对生活充满积极向上的态度。3、会使用电脑操作。职位要求：1、大专及专科以上学历，专业不限，对于应聘岗位有兴趣。2、逻辑思维强，能够独立自主解决碰到的问题。3、有良好的沟通能力和学习能力，团队工作融洽有效。4、有无相关经验均可，欢迎应届大学生，优秀者公司提供实习机会。三、福利待遇：1、转正后底薪6000。工资=底薪+奖金+补助2、五险(养老、失业、工伤、医疗、生育）一金（住房公积金）3、入职后签订劳动就业合同，五险一金+双休法定假日,有良好的晋升空间4、全体员工除享受以上福利待遇外还将享受带薪年假、病假、婚假、丧假、产假等国家法定节假日。应聘流程：应聘登记（投递简历）-面试-入职",互联网/电子商务 ,,大专,合肥,安徽省合肥市蜀山区长江西路189号之心城A座1101室
信息技术专员,5千-7千,安徽中联惠众信息技术有限公司,岗位职责：1、对公司平台进行维护，熟悉公司平台操作流程2、对公司电脑等电子设备的保养和维护，确保日常工作和交易正常进行3、协助负责公司各软件系统、硬件系统的正常运行4负责公司员工平台操作流程的培训5、陪同领导向客户演示公司平台操作流程，介绍平台优势任职要求：1、计算机、信息技术等相关专业，本科以上学历2、可接收优秀应届毕业生3、强烈的责任心，面对压力具备分析和解决问题的能力，较强的沟通能力和写作精神4、具备良好的语言表述能力和文字功底5、有IT基础设施系统运行维护经验和项目管理经验者优先,互联网/电子商务 ,,学历不限,合肥,安徽省合肥市高新区望江西路800号合肥创新产业园A1楼605、608室
NBU备份,8千-1万,北京博辕捷迅科技发展有限公司,（1）大学专科以上或同等学历（2）熟悉NBU备份软件的基本原理，对备份软件的安装，配置，及故障处理能够熟练操作（3）了解NBU备份软件监控、性能分析、健康检查工具的使用方法；（4）了解NBUCLUSTER软件的配置操作方法；（5）熟悉AIX/HP/LINUX操作系统的基本操作，了解操作系统备份的基本原理；（6）有存储、带库等硬件产品的实施和管理经验（7）有备份系统运维工作（8）具有较强的文档编写能力，有电力系统运维工作经验优先。,互联网/电子商务 ,,学历不限,合肥,芜湖路415号省电力公司
IT技术维护助理/it信息技术专员/IT技术支持实习生,6千-8千,合肥蜂合互联科技有限公司,"岗位要求：1、应届生亦可,大专及以上学历，热爱IT行业；2、认真负责，能够独立思考。3、沟通能力强,能够适应团队合作，注重细节。任职要求：1、具备一定的计算机基础；2、良好语言表达和沟通能力，具备团队思维；3、有较好的沟通、协调能力和分析能力；细致、负责的工作态度；入职后签订劳动就业合同，五险一金+双休法定假日,有良好的晋升空间福利待遇：五险一金、过节礼物、定期部门活动双休+法定节假日正常放假、8小时工作制、带薪年假、婚假等薪资：4000元—7000元薪资组成:底薪+月度绩效奖金+年度奖金薪",互联网/电子商务 ,1年以下,大专,合肥,包河区南一环与徽州大道交叉口东方广场B座14楼
急招通信技术实习生（周末双休）,2千-4千,安徽海文盈通信息技术有限公司合肥分公司,岗位职责：1、应往届毕业生，有志在IT行业发展；2、大专及以上学历，机械、计算机类相关专业优先3、热爱硬件维护、硬件测试、网络管理等方向事业4、工作责任心强，做事仔细，有耐心；5、有较强的沟通意识及工作热情；6、能够清晰表达个人的观点，并有较好的团队合作精神！福利待遇：1.保险保障：为所有员工购买五险一金（养老保险、医疗保险、失业保险、工伤保险和生育保险，还有住房公积金）。2.住宿：公司提供住宿3.其他福利：带薪年假、产假、婚假、病假，年底双薪，年底分红，国内外旅游，国家法定节假日正常放假等等。上班时间：早九晚六，周末双休,互联网/电子商务 ,,学历不限,合肥,蜀山区金寨路91号立基大厦A座14楼
应届生亦可4k计算机文员/计算机技术支持实习生/计算机操作学徒,4千-6千,合肥软世通信息技术有限公司,"岗位要求：1大专及以上学历,热爱电子信息,自动化,互联网,T软件开发事业2.具有良好的沟通组织能力，有责任心和团体意识，具备吃苦耐劳精神3.愿从基层做起，有极强的发展意识和上进心4.欢迎敢奋斗、想拼搏的广大应往届毕业生，自觉能定性较强者优先福利待遇：1.合理的福利待遇=基本工资+绩效奖金+五险一金+带薪年假+餐补房补+员工活动；2.提供带薪的岗前培训以及专业知识培训3.实习期满后会通过考核，考核通过可转为正式员工4.8小时工作制、周末双休、法定节假日正常休息5.公司有完善的考核机制、晋升机制、加薪机制9:00~18:00，双休，法定节假日正常放假，春节带薪放假15日左右欢迎广大求职者投递简历",互联网/电子商务 ,,大专,合肥,安徽省合肥市包河区徽州大道与南一环交叉口富广大厦15楼
电子技术工程师助理/电子信息技术实习生+4000,4千-6千,安徽恒娱网络科技有限公司,"岗位职责：1.对电子感兴趣，并想进入该行业；2.好学，细心，有良好的逻辑思维能力；3.工作认真，可以从实习生做起任职要求：1、可接受应届毕业生，实习生；2、相关专业优先考虑；3、有责任感，良好的团队协助精神；4、有无经验均可。一经录用，待遇优厚！5、18-28岁，超龄勿扰。不符合条件者勿扰（非中介，非保险）条件优秀者可相应放宽。不符合条件者勿扰（非中介，非保险）入职后签订劳动就业合同，五险一金+双休法定假日,有良好的晋升空间薪资待遇：1、薪酬=基本工资+绩效奖金+五险一金+餐补+房补（4k-6k）优秀者面谈2、逢年过节发放节日礼品，聚餐等；3、按季度组织省外出旅游等；4、定期体检等；5、按季度评比出优秀员工进行培养和加薪（必要时晋升）；6、公司工作环境优雅、氛围好，同事关系融洽，生日派对、聚餐等活动丰富；7、公司注重员工培养，给予晋升机会：内部转职（横向发展）、纵向提升8、高额的年终奖金，每位员工都会有年终奖金，服务公司时间越长，年终奖金会越高，逐年递增直接来电咨询电话：17095739039廖经理在线QQ咨询（人力资源部）：QQ3422750881(加QQ时请备注姓名、年龄、手机号码、求职岗位)工作时间：9:00-18:00（午休两小时，工作更高效哦！！）周末双休（放松两天补充能量吧！）地址：合肥市明珠广场经开区莲花路与石门路交口819号莲花电子产业园A座409室",互联网/电子商务 ,,大专,合肥,安徽恒娱网络科技有限公司
网页设计工程可实习3500起五险一金,4千-8千,安徽希望网络科技股份有限公司,岗位职责：1、负责公司网站的设计、改版、更新；2、负责公司产品的界面进行设计、编辑、美化等工作；3、对公司的宣传产品进行美工设计；4、负责客户及系统内的广告和专题的设计；5、负责与开发人员配合完成所辖网站等前台页面设计和编辑；6、其他与美术设计相关的工作。任职资格：1、美术、平面设计相关专业，专科及以上学历；2、有网页设计及平面设计工作经验优先考虑；3、有扎实的美术功底、良好的创意思维和理解能力，能及时把握客户需求；4、了解Photoshop\Dreamweaver\Illustrator等设计软件，对图片渲染和视觉效果有较好认识；5、善于与人沟通，良好的团队合作精神和高度的责任感，能够承受压力，有创新精神，保证工作质量；联系人：沈经理联系电话：18056045900QQ：2171389115公司地址：合肥市高新区望江西路800号创新产业园D7栋5楼、7楼公司网址：http://www.auto-serve.com我公司目前网站设计师助理、淘宝美工实习生、ps设计师、网站设计实习生、营销策划师、网站美工编辑专员等岗位均在招聘，欢迎广大往应届毕业生投递简历！,互联网/电子商务 ,无经验,大专,合肥,合肥市高新区望江西路800号动漫基地D7栋5楼
数据信息专员,6千-8千,安徽鼎安项目投资管理有限责任公司,数据信息专员岗位需求岗位职责：1、采集、整理和核对公司运营数据信息；2、日常数据信息统计汇总和传递；3、协助数据分析师进行数据信息分析；4、数据库及数据分析平台的运行维护；5、数据信息的归档及安全管理；6、协调和沟通数据提供单位的对接及信息传达。任职要求：1、有2年以上统计或信息管理工作经验，了解房产施工、地产运营者优先；2、有较高的数据敏感性及分析报告写作能力；3、熟练使用Word，Excel，Access，Visio等办公软件；会使用Excel高级功能及VBA；能快速制作报表、图表、图像以及文字处理；4、具有一定的数据统计分析、数据挖掘知识，熟悉相关的分析工具软件，了解数据库知识；5、具有较强的分析能力、沟通能力、表达能力。,互联网/电子商务 ,1-3年,大专,合肥,安徽省合肥市包河区万达广场7号楼2707室
信息技术维护员双休,3千-5千,安徽易服商务服务有限公司,岗位名称：信息技术维护员双休招聘人数：3-4人岗位职责：计算机网络、硬件及相关设备的维护。任职要求：1、年龄20-35周岁，全日制本科学历，有相关经验的可适当放宽要求。2、计算机相关专业（计算机网络与安全管理、计算机科学与技术、网络系统管理、电子信息工程等）。3、无犯罪记录，无不良嗜好。薪资福利：月均收入水平4000元左右，年均收入水平5万元左右。缴纳五险一金、发放交通补贴、节日补助、高温补贴，享受补充商业保险、工作餐、年度体检、年休假、出差补助等。工作时间：做五休二，每周休息两天，国家法定节假日休息。工作地点:合肥市芜湖路，需要经常到巢湖市出差工作。联系电话：63535418,互联网/电子商务 ,,本科,合肥,合肥市芜湖路
IT技术维护助理/IT信息技术专员/IT技术支持实习生（包住宿五险）,4千-6千,合肥学码思教育科技有限公司,"岗位要求：1、应届生亦可,大专及以上学历，热爱IT行业；2、认真负责，能够独立思考。3、沟通能力强,能够适应团队合作，注重细节。任职要求：1、具备一定的计算机基础；2、良好语言表达和沟通能力，具备团队思维；3、有较好的沟通、协调能力和分析能力；细致、负责的工作态度；入职后签订劳动就业合同，五险一金+双休法定假日,有良好的晋升空间福利待遇：五险一金、过节礼物、定期部门活动双休+法定节假日正常放假、8小时工作制、带薪年假、婚假等薪资：3500元—5000元薪资组成:底薪+月度绩效奖金+年度奖金薪公司目前在招聘信息技术实习生、IT信息技术专员、技术支持实习生、系统工程师助理、网络工程师实习生、计算机学徒、软件开发工程师等岗位，欢迎广大求职者投递简历",互联网/电子商务 ,,大专,合肥,合肥市包河区屯溪路239号富广大厦
JAVA工程师/UI设计师/实习可应届4000,4千-8千,安徽希望网络科技股份有限公司,岗位要求：1大专以上学历，理工科优先，对计算机和互联网感兴趣2.具有良好的沟通组织能力，有责任心和团体意识，具备吃苦耐劳精神3.愿从基层做起，有极强的发展意识和上进心4.欢迎敢奋斗、想拼搏的广大应往届毕业生，自觉能定性较强者优先福利待遇：1.合理的福利待遇=基本工资+绩效奖金+五险一金+带薪年假+餐补房补+员工活动；2..实习期满后会通过考核，考核通过可转为正式员工3.8小时工作制、周末双休、法定节假日正常休息4.公司有完善的考核机制、晋升机制、加薪机制联系人：沈经理联系电话：18056045900QQ：2171389115公司地址：合肥市高新区望江西路800号创新产业园D7栋5楼、7楼我公司目前javaEE开发实习生、Java初级开发工程师、安卓开发实习生、数据库开发工程师和实习生等岗位均在招聘，欢迎广大往应届毕业生投递简历！,互联网/电子商务 ,无经验,大专,合肥,合肥市高新区望江西路800号动漫基地D7栋5楼
电子信息工程实习生,4千-6千,安徽恒娱网络科技有限公司,岗位职责：1、喜欢计算机（非中介，非保险）2、想获得一份稳定的工作3、好学、细心，喜欢发现事物当中的不足，责任心强任职要求：1、能够尽快入职、长期稳定工作2、大专及大专以上学历薪资和福利：1.薪酬=基本工资（3K起）+绩效+五险+公积金+餐补+房补+交通补助；2.双休、朝九晚六、法定假日、春节带薪假15日左右，享受婚假，产假等福利；节假日发放大型商场购物卡等。3.丰富的员工活动，每月一次，丰富的下午茶，水果等；每年年度优秀员工，还可获得一次全程报销费用的旅游机会。4.新员工享受岗前1个月是带薪实习。5.高额的年终奖金，每位员工都会有年终奖金，服务公司时间越长，年终奖金会越高，逐年递增工作时间：周一到周五，9：00-6：00中午休息二小时,互联网/电子商务 ,,大专,合肥,安徽恒娱网络科技有限公司
网络管理 系统工程师、网络工程师 Linux运维工程师定岗生,6千-8千,润斯顿中关村软件人才中心,高级网络管理员定岗实习生普通网络管理员——仅掌握windows系统技术，只能在小企业工作，做最底层的网管！什么是高级网管呢？高级网络管理员是指掌握Linux系统技术的人，又叫网络工程师、系统工程师、网络管理工程师、运维工程师、信息安全工程师、系统集群工程师、云计算系统工程师等等。什么是Linux系统，为什么要使用这一系统呢？Linux就是一种操作系统，像Windows一样，只不过Linux是应用在企业服务器上的，Windows是应用在个人电脑上的。Linux系统比Windows操作系统更安全、稳定，且是免费的。无论你未来所服务的单位是国企、银行、政府机关、还是集团公司，它们的操作系统一定使用的是Linux，掌握了该系统运维技术就等于掌握了互联网企业的网络、系统、信息安全等技术的核心。Linux系统安全运维工程师是做什么的？负责企业服务器的稳定运行和维护工作，比如程序的安装上线、系统修复、优化，让用户访问的速度更快，避免黑客攻击等等。岗位优势：1.本岗位不用编代码，只是安装和应用软件，非常适合爱好IT行业，又不想与枯燥代码打交道者，跨专业性比较强。2、随着linux应用范围的迅速扩大，对linux技术人才的需求空前膨胀，无论是职业发展还是薪酬待遇都将获得更为广阔的发展空间。3、从业三年以上的Linux运维工程师，年薪轻松达到30万，且供不应求！4、可以作为一份终身的职业：这个工作是系统出现问题时能够及时解决，所以说这个工作时间越久，判断故障的经验就越丰富、越迅速，就越吃香，当然待遇就越高。报名条件：1.专科以上学历，有较强的学习能力，热爱并有兴趣从事互联网工作。2.入职前同意在园区参加岗前集中实训三到四个月，实训采用全实战模式，重工作、不重理论，使您每天置身于企业实际应用环境，把将来工作所需要掌握的技术做熟、做会，迅速达到定制企业用人需要。3、工作首年需在北京就职，次年可申请调回原籍所在省会城市的分公司或合作企业。待遇：1、签订正式劳动合同，享受国家规定的保险及福利待遇。2、签订《就业服务双保障协议》，保入职起薪不低于6万元/年以上（往届实训结束，初次入职月薪7000元以上者占比达90%以上）保障工作满一年后，年薪最低不低于10万元。3、享受园区高端人才引进补助政策，实训期间发放1500元现金生活补助。Linux运维工程师——2016年以来最火的职位，没有之一！工作地址：北京中关村软件园工作地址：北京中关村软件园网址：http://www.zparkrc.cn全国免费电话：4000500226QQ在线：2522066888微信：13311128253,互联网/电子商务 ,,大专,合肥,北京市海淀区东北旺西路8号中关村软件园
编辑(普通组),2千-4千,合肥庐阳区世鑫数据处理服务中心,岗位职责：1.负责客户每日网站新闻的编辑校对，及相关的媒体/网站监测工作2.工作汇报对象:编辑组长3.有高度的责任心、团队精神，关注细节；任职要求：1.较强的分析能力；2.大专以上学历；3.上班时间为（7;30-11；3013;00-17；30）,互联网/电子商务 ,,大专,合肥,合肥市瑶海区站西路惠园大厦B座910室
编辑(夜班组),2.7千-4千,合肥庐阳区世鑫数据处理服务中心,岗位职责：1.根据客户客户的具体要求，对系统平台新闻进行分析判断；2.工作汇报对象:编辑组长任职要求：1.有高度的责任心、团队精神，关注细节；2.较强的分析能力；3.大专以上学历；4.上班时间为16-24点；,互联网/电子商务 ,,中专,合肥,合肥市瑶海区站西路惠园大厦B座910室
编辑(普通组),2.5千-4千,合肥庐阳区世鑫数据处理服务中心,"岗位职责：1.根据客户具体要求，对平台新闻判断分析；2.具体客户指定网站，APP新闻监测；3.工作汇报对象:组长任职要求：1.有高度的责任心、团队精神，关注细节；2.较强的分析能力；3.大专以上学历；4.培训过后通过相应考核可在家办公；5.工作时间：7：30-11:30,13:00-17：30",互联网/电子商务 ,,中专,合肥,合肥市瑶海区站西路惠园大厦B座910室
